gvkey,year,coname,sic,co_per_rol,ceoann,opt_exer_val,opt_unex_exer_est_val,tdc1
1004,2013,AAR CORP,5080,5623,CEO,183.863,2759.986,5247.779
1004,2013,AAR CORP,5080,5626,,15.037,1370.028,2610.43
1004,2013,AAR CORP,5080,20106,,124.3,103.828,1003.249
1004,2013,AAR CORP,5080,44350,,0,452.896,1648.855
1004,2013,AAR CORP,5080,47774,,0,243.6,1246.609
1004,2013,AAR CORP,5080,64669,,0,0,1411.156
2812,2013,DOLE FOOD CO INC,100,55174,,,,
1045,2013,AMERICAN AIRLINES GROUP INC,4512,16477,,1235.326,0,9742.047
1045,2013,AMERICAN AIRLINES GROUP INC,4512,33126,CEO,2030.761,0,19092.978
1045,2013,AMERICAN AIRLINES GROUP INC,4512,43629,,788.436,0,9241.478
1045,2013,AMERICAN AIRLINES GROUP INC,4512,46951,,511.942,0,10088.228
1045,2013,AMERICAN AIRLINES GROUP INC,4512,49254,,0,12494.005,8279.828
1045,2013,AMERICAN AIRLINES GROUP INC,4512,49255,,0,13926.37,8384.009
1045,2013,AMERICAN AIRLINES GROUP INC,4512,49256,,0,37781.022,17661.13
1045,2013,AMERICAN AIRLINES GROUP INC,4512,49257,,0,14080.611,13283.563
1045,2013,AMERICAN AIRLINES GROUP INC,4512,49258,,0,14710.429,9590.929
1072,2013,AVX CORP,3670,23604,CEO,0,606,2207.849
1072,2013,AVX CORP,3670,27953,,0,96.23,787.835
1072,2013,AVX CORP,3670,29612,,0,8.43,565.464
1072,2013,AVX CORP,3670,31341,,0,104.35,640.916
1072,2013,AVX CORP,3670,48099,,0,90.12,729.49
1072,2013,AVX CORP,3670,53405,,,,
1075,2013,PINNACLE WEST CAPITAL CORP,4911,27518,CEO,0,0,7123.873
1075,2013,PINNACLE WEST CAPITAL CORP,4911,34831,,0,0,2261.421
1075,2013,PINNACLE WEST CAPITAL CORP,4911,37250,,0,0,1749.237
1075,2013,PINNACLE WEST CAPITAL CORP,4911,42212,,0,0,1855.018
1075,2013,PINNACLE WEST CAPITAL CORP,4911,42478,,0,0,1684.828
1075,2013,PINNACLE WEST CAPITAL CORP,4911,48682,,0,0,1656.597
1076,2013,PROG HOLDINGS INC,6141,17980,,3841.736,1146.998,3181.517
1076,2013,PROG HOLDINGS INC,6141,17981,,360.183,0,7888.649
1076,2013,PROG HOLDINGS INC,6141,45024,CEO,59.774,112.045,4103.511
1076,2013,PROG HOLDINGS INC,6141,49259,,31.185,57.35,900.984
