costat,curcd,datafmt,indfmt,consol,gvkey,fyear,sic,at,ceq,che,dlc,dltt,ppent,ni,capx,csho,prcc_f
A,USD,STD,INDL,C,1004,2013,5080,2199.5,999.5,89.2,69.7,564.3,413.3,72.9,26.5,39.56,24.3
I,USD,STD,INDL,C,1019,2013,7380,35.812,7.529,1.496,1.32,6.21,7.519,1.678,1.826,0.162,273.25
A,USD,STD,INDL,C,1045,2013,4512,42278,-2731,10286,1446,15353,19259,-1834,3114,261.069,25.25
A,USD,STD,INDL,C,1050,2013,3564,348.536,170.406,22.661,9.922,79.16,21.665,6.557,1.377,25.587,16.152
A,USD,STD,INDL,C,1062,2013,6799,252.142,250.347,3.031,0,0,0,-212.673,,19.29,12.78
I,USD,STD,INDL,C,1072,2013,3670,2384.988,2047.685,874.289,0,0,235.725,127.037,26.805,168.221,13.18
A,USD,STD,INDL,C,1075,2013,4911,13508.686,4194.47,9.526,693.549,2796.465,10888.985,406.074,1031.183,110.182,52.92
A,USD,STD,INDL,C,1076,2013,6141,1827.176,1139.963,286.341,27.529,115.175,1087.018,120.666,58.145,72.957,29.4
A,USD,STD,INDL,C,1078,2013,3845,42953,25171,8098,3173,3388,5905,2576,1145,1548.098,38.33
A,USD,STD,INDL,C,1084,2013,7370,0.328,-4.002,0.022,1.116,0,0,-4.128,0,93.21,0.15
I,USD,STD,INDL,C,1094,2013,5160,323.43,194.64,35.375,11.714,20.355,11.41,22.328,1.022,27.831,13.93
A,USD,STD,INDL,C,1097,2013,6351,77.654,33.296,11.866,1.504,5.732,5.262,0.999,0.116,1.072,24
A,USD,STD,INDL,C,1104,2013,3420,68.079,35.005,11.644,0,22.912,5.936,4.003,4.592,3.201,14.9
A,USD,STD,INDL,C,1117,2013,3663,34.023,31.42,7.945,0,0,1.045,1.142,0.338,13.589,3.37
A,USD,STD,INDL,C,1119,2013,6726,,,,,,,,,92.216,13.07
I,USD,STD,INDL,C,1121,2013,5172,448.082,154.685,60.733,0,0,91.865,21.61,27.602,4.218,68.5
A,USD,STD,INDL,C,1161,2013,3674,4337,544,1097,60,1998,346,-83,84,725,3.87
A,USD,STD,INDL,C,1166,2013,3559,2137.466,1994.164,430.507,0,0,96.264,1449.403,23.511,63.468,33
I,USD,STD,INDL,C,1177,2013,6324,49871.8,14025.5,3391.2,387.3,7865.3,721.9,1913.6,479.1,362.2,68.59
A,USD,STD,INDL,C,1186,2013,1040,4959.359,2977.149,244.622,12.035,1011.843,4049.117,-406.526,577.789,173.954,26.38
A,USD,STD,INDL,C,1209,2013,2810,17850.1,7042.1,450.4,1217.3,5056.3,8974,994.2,1524.2,211.179,106.57
A,USD,STD,INDL,C,1210,2013,4513,37.221,27.36,5.22,0,0,3.985,1.467,1.284,2.355,12.1
A,USD,STD,INDL,C,1224,2013,4924,1198.075,384.58,3.032,50,249.923,885.509,57.399,86.037,1.972,
A,USD,STD,INDL,C,1225,2013,4911,19251,5502,295,0,6233,15058,751,1107,30.538,
I,USD,STD,INDL,C,1228,2013,4950,7.217,5.424,2.259,0,0,4.34,-0.683,0.962,4.989,0.44
A,USD,STD,INDL,C,1230,2013,4512,5838,2029,1330,117,754,3893,508,566,68.746,73.37
I,USD,STD,INDL,C,1234,2013,3841,172.066,148.994,46.91,0,0,58.328,26.582,7.503,1.992,296.25
A,USD,STD,INDL,C,1254,2013,4400,1248.3,338.2,114.5,12.5,273.6,735.4,53.7,35.2,42.8,26.11
A,USD,STD,INDL,C,1257,2013,6798,1457.724,333.581,437.762,317.179,732.78,0,56.915,0,5.106,330
A,USD,STD,INDL,C,1266,2013,100,198.84,142.736,24.843,2,34,131.071,19.646,18.924,7.304,41.17
A,USD,STD,INDL,C,1272,2013,5500,0,-0.009,0,0,0,0,-0.004,0,2964.182,0.0001
I,USD,STD,INDL,C,1274,2013,6331,23361.088,6923.757,2310.51,0,1794.407,58.974,628.421,17.427,16.766,399.96
A,USD,STD,INDL,C,1300,2013,9997,45435,17467,6422,2028,6801,5278,3924,947,783.8,91.37
A,USD,STD,INDL,C,1327,2013,3674,2333.1,2101.1,511.1,0,0,328.6,278.1,123.8,187.9,24.84
